Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwoFW_lr_0.001_valacc,DenseModel_lr_0.001_valacc,LLDLwoFW_lr_0.001_trainacc,DenseModel_lr_0.001_trainacc
85,0.850000024,0.449999988,0.74000001,0.907777786,0.48777777,0.51444447,0.689999998,0.800000012,0.794444442,0.902222216
86,0.829999983,0.400000006,0.409999996,0.874444425,0.50777775,0.49444443,0.579999983,0.670000017,0.819999993,0.914444447
87,0.870000005,0.699999988,0.74000001,0.893333316,0.552222252,0.516666651,0.680000007,0.75,0.810000002,0.910000026
88,0.850000024,0.419999987,0.74000001,0.893333316,0.50111109,0.528888881,0.569999993,0.75999999,0.823333323,0.934444427
89,0.639999986,0.74000001,0.74000001,0.787777781,0.562222242,0.513333321,0.689999998,0.709999979,0.826666653,0.923333347
90,0.850000024,0.449999988,0.379999995,0.75444442,0.554444432,0.50999999,0.730000019,0.74000001,0.798888862,0.932222247
91,0.889999986,0.460000008,0.74000001,0.782222211,0.485555559,0.5088889,0.720000029,0.75999999,0.776666641,0.944444418
92,0.860000014,0.419999987,0.74000001,0.781111121,0.541111112,0.528888881,0.649999976,0.660000026,0.819999993,0.943333328
93,0.75,0.74000001,0.74000001,0.808888912,0.532222211,0.531111121,0.620000005,0.74000001,0.833333313,0.945555568
94,0.879999995,0.74000001,0.74000001,0.867777765,0.547777772,0.537777781,0.600000024,0.709999979,0.848888874,0.949999988
95,0.889999986,0.74000001,0.409999996,0.875555575,0.564444423,0.544444442,0.699999988,0.75,0.832222223,0.941111088
96,0.850000024,0.74000001,0.349999994,0.882222235,0.531111121,0.533333361,0.560000002,0.769999981,0.837777793,0.953333318
97,0.879999995,0.49000001,0.439999998,0.892222226,0.560000002,0.50111109,0.550000012,0.75999999,0.876666665,0.962222219
98,0.879999995,0.439999998,0.439999998,0.882222235,0.526666641,0.513333321,0.620000005,0.769999981,0.839999974,0.945555568
99,0.870000005,0.49000001,0.74000001,0.899999976,0.543333352,0.556666672,0.540000021,0.730000019,0.807777762,0.961111128
100,0.879999995,0.74000001,0.74000001,0.911111116,0.51222223,0.528888881,0.610000014,0.74000001,0.821111083,0.963333309
101,0.879999995,0.74000001,0.409999996,0.870000005,0.529999971,0.49888888,0.680000007,0.779999971,0.812222242,0.959999979
102,0.879999995,0.74000001,0.430000007,0.916666687,0.554444432,0.529999971,0.589999974,0.769999981,0.802222252,0.961111128
103,0.899999976,0.74000001,0.379999995,0.913333356,0.542222202,0.536666691,0.699999988,0.74000001,0.798888862,0.955555558
104,0.889999986,0.469999999,0.430000007,0.911111116,0.562222242,0.523333311,0.49000001,0.74000001,0.821111083,0.971111119
105,0.879999995,0.469999999,0.74000001,0.922222197,0.540000021,0.50555557,0.629999995,0.720000029,0.808888912,0.931111097
106,0.870000005,0.400000006,0.379999995,0.904444456,0.531111121,0.522222221,0.579999983,0.769999981,0.797777772,0.957777798
107,0.879999995,0.49000001,0.74000001,0.888888896,0.569999993,0.482222229,0.74000001,0.769999981,0.76222223,0.952222228
108,0.870000005,0.469999999,0.419999987,0.883333325,0.536666691,0.48888889,0.709999979,0.720000029,0.766666651,0.977777779
109,0.879999995,0.25999999,0.479999989,0.904444456,0.469999999,0.542222202,0.699999988,0.75,0.822222233,0.982222199
110,0.699999988,0.25999999,0.409999996,0.904444456,0.485555559,0.523333311,0.709999979,0.769999981,0.817777753,0.981111109
111,0.860000014,0.74000001,0.74000001,0.873333335,0.50222224,0.519999981,0.560000002,0.74000001,0.825555563,0.99000001
112,0.860000014,0.74000001,0.419999987,0.902222216,0.50555557,0.562222242,0.730000019,0.75,0.802222252,0.984444439
113,0.899999976,0.25999999,0.74000001,0.902222216,0.48777777,0.51111114,0.639999986,0.75999999,0.843333304,0.971111119
114,0.870000005,0.25999999,0.419999987,0.887777805,0.461111099,0.519999981,0.639999986,0.75999999,0.801111102,0.982222199
115,0.889999986,0.25999999,0.469999999,0.908888876,0.474444449,0.524444461,0.730000019,0.769999981,0.828888893,0.970000029
116,0.850000024,0.25999999,0.74000001,0.913333356,0.534444451,0.525555551,0.600000024,0.74000001,0.832222223,0.976666689
117,0.889999986,0.25999999,0.74000001,0.916666687,0.478888899,0.571111083,0.75,0.769999981,0.804444432,0.975555539
118,0.870000005,0.25999999,0.409999996,0.912222207,0.454444438,0.50111109,0.670000017,0.790000021,0.831111133,0.986666679
119,0.910000026,0.25999999,0.74000001,0.923333347,0.49222222,0.519999981,0.709999979,0.769999981,0.798888862,0.984444439
120,0.879999995,0.74000001,0.409999996,0.920000017,0.49444443,0.538888872,0.75999999,0.730000019,0.837777793,0.98888886
121,0.769999981,0.25999999,0.74000001,0.920000017,0.50777775,0.526666641,0.529999971,0.769999981,0.825555563,0.99222225
122,0.769999981,0.25999999,0.419999987,0.912222207,0.49000001,0.542222202,0.730000019,0.779999971,0.845555544,0.9911111
123,0.779999971,0.25999999,0.74000001,0.898888886,0.50111109,0.50555557,0.720000029,0.75999999,0.878888905,0.99777776
124,0.850000024,0.25999999,0.430000007,0.915555537,0.49222222,0.534444451,0.649999976,0.75,0.842222214,0.99555558
125,0.899999976,0.74000001,0.74000001,0.904444456,0.476666659,0.544444442,0.649999976,0.74000001,0.853333354,0.984444439
126,0.879999995,0.25999999,0.730000019,0.850000024,0.50555557,0.525555551,0.569999993,0.779999971,0.818888903,0.972222209
127,0.689999998,0.74000001,0.74000001,0.717777789,0.51222223,0.534444451,0.74000001,0.709999979,0.831111133,0.936666667
128,0.75999999,0.25999999,0.389999986,0.675555527,0.467777789,0.523333311,0.709999979,0.75999999,0.860000014,0.961111128
129,0.689999998,0.25999999,0.74000001,0.792222202,0.558888912,0.49666667,0.689999998,0.790000021,0.848888874,0.966666639
130,0.689999998,0.74000001,0.74000001,0.726666689,0.523333311,0.50444442,0.689999998,0.769999981,0.872222245,0.99333334
131,0.75999999,0.25999999,0.419999987,0.736666679,0.48777777,0.564444423,0.699999988,0.779999971,0.823333323,0.99777776
132,0.74000001,0.25999999,0.74000001,0.774444461,0.476666659,0.533333361,0.730000019,0.75,0.837777793,0.99888891
133,0.75999999,0.25999999,0.670000017,0.800000012,0.49444443,0.538888872,0.699999988,0.75,0.847777784,0.99777776
134,0.75999999,0.25999999,0.74000001,0.814444423,0.463333338,0.50222224,0.709999979,0.769999981,0.825555563,0.99666667
135,0.75999999,0.74000001,0.409999996,0.822222233,0.516666651,0.526666641,0.709999979,0.769999981,0.838888884,1
136,0.779999971,0.25999999,0.74000001,0.821111083,0.49888888,0.546666682,0.660000026,0.779999971,0.824444473,0.99888891
137,0.850000024,0.74000001,0.74000001,0.855555534,0.51444447,0.552222252,0.579999983,0.769999981,0.834444463,1
138,0.839999974,0.74000001,0.74000001,0.879999995,0.456666678,0.546666682,0.709999979,0.790000021,0.816666663,1
139,0.870000005,0.25999999,0.419999987,0.911111116,0.49444443,0.517777801,0.639999986,0.779999971,0.847777784,0.99888891
140,0.850000024,0.25999999,0.389999986,0.917777777,0.481111109,0.49222222,0.689999998,0.769999981,0.835555553,0.99666667
141,0.819999993,0.74000001,0.419999987,0.923333347,0.50333333,0.49333334,0.720000029,0.670000017,0.828888893,0.937777758
142,0.850000024,0.25999999,0.419999987,0.907777786,0.458888888,0.51222223,0.699999988,0.74000001,0.853333354,0.882222235
143,0.819999993,0.74000001,0.430000007,0.931111097,0.50555557,0.542222202,0.680000007,0.670000017,0.866666675,0.939999998
144,0.850000024,0.74000001,0.430000007,0.931111097,0.522222221,0.567777753,0.600000024,0.790000021,0.831111133,0.972222209
145,0.850000024,0.25999999,0.430000007,0.939999998,0.48777777,0.51111114,0.49000001,0.769999981,0.834444463,0.99444443
146,0.790000021,0.74000001,0.74000001,0.927777767,0.529999971,0.534444451,0.660000026,0.779999971,0.839999974,0.99222225
147,0.779999971,0.25999999,0.409999996,0.921111107,0.550000012,0.566666663,0.680000007,0.779999971,0.844444454,1
148,0.860000014,0.74000001,0.419999987,0.923333347,0.49666667,0.567777753,0.50999999,0.790000021,0.854444444,1
149,0.850000024,0.25999999,0.74000001,0.924444437,0.538888872,0.4911111,0.74000001,0.790000021,0.829999983,1
150,0.850000024,0.25999999,0.409999996,0.933333337,0.536666691,0.526666641,0.670000017,0.790000021,0.832222223,1
151,0.829999983,0.25999999,0.74000001,0.924444437,0.51444447,0.50444442,0.720000029,0.790000021,0.847777784,1
152,0.850000024,0.25999999,0.74000001,0.934444427,0.50333333,0.467777789,0.550000012,0.779999971,0.822222233,1
153,0.839999974,0.74000001,0.419999987,0.938888907,0.5,0.532222211,0.579999983,0.769999981,0.797777772,1
154,0.860000014,0.25999999,0.409999996,0.936666667,0.48888889,0.542222202,0.600000024,0.779999971,0.817777753,1
155,0.860000014,0.74000001,0.74000001,0.933333337,0.485555559,0.523333311,0.550000012,0.779999971,0.786666691,1
156,0.860000014,0.74000001,0.409999996,0.918888867,0.50777775,0.528888881,0.730000019,0.779999971,0.806666672,1
157,0.870000005,0.74000001,0.430000007,0.935555577,0.552222252,0.529999971,0.689999998,0.779999971,0.796666682,1
158,0.829999983,0.74000001,0.74000001,0.931111097,0.465555549,0.517777801,0.600000024,0.790000021,0.825555563,1
159,0.819999993,0.74000001,0.419999987,0.926666677,0.50333333,0.586666644,0.709999979,0.75999999,0.826666653,1
160,0.829999983,0.74000001,0.400000006,0.947777748,0.50999999,0.522222221,0.74000001,0.769999981,0.844444454,1
161,0.790000021,0.74000001,0.74000001,0.935555577,0.51222223,0.545555532,0.620000005,0.779999971,0.834444463,1
162,0.860000014,0.25999999,0.389999986,0.927777767,0.468888879,0.550000012,0.699999988,0.779999971,0.833333313,1
163,0.889999986,0.74000001,0.409999996,0.937777758,0.49888888,0.521111131,0.720000029,0.75,0.815555573,1
164,0.860000014,0.25999999,0.74000001,0.933333337,0.49444443,0.50222224,0.689999998,0.75999999,0.829999983,0.99777776
165,0.839999974,0.74000001,0.400000006,0.942222238,0.485555559,0.528888881,0.730000019,0.75999999,0.851111114,0.924444437
166,0.870000005,0.74000001,0.419999987,0.927777767,0.458888888,0.49777779,0.579999983,0.699999988,0.858888865,0.912222207
167,0.860000014,0.25999999,0.74000001,0.926666677,0.521111131,0.525555551,0.689999998,0.709999979,0.845555544,0.967777789
168,0.910000026,0.25999999,0.449999988,0.914444447,0.478888899,0.572222233,0.680000007,0.769999981,0.857777774,0.99444443
169,0.800000012,0.74000001,0.439999998,0.921111107,0.49666667,0.553333342,0.579999983,0.75999999,0.865555584,1
170,0.860000014,0.74000001,0.409999996,0.932222247,0.49888888,0.535555542,0.670000017,0.769999981,0.870000005,1
171,0.800000012,0.25999999,0.720000029,0.933333337,0.517777801,0.602222204,0.680000007,0.75999999,0.875555575,1
172,0.860000014,0.25999999,0.74000001,0.925555527,0.522222221,0.564444423,0.620000005,0.769999981,0.887777805,1
173,0.860000014,0.25999999,0.74000001,0.926666677,0.547777772,0.545555532,0.689999998,0.75999999,0.851111114,1
174,0.850000024,0.74000001,0.439999998,0.924444437,0.49444443,0.50222224,0.639999986,0.75999999,0.824444473,1
175,0.879999995,0.74000001,0.400000006,0.913333356,0.543333352,0.554444432,0.680000007,0.769999981,0.847777784,1
176,0.829999983,0.74000001,0.400000006,0.906666696,0.481111109,0.50999999,0.540000021,0.75999999,0.827777803,1
177,0.829999983,0.25999999,0.430000007,0.905555546,0.527777791,0.535555542,0.649999976,0.75999999,0.822222233,1
178,0.779999971,0.25999999,0.430000007,0.931111097,0.465555549,0.543333352,0.660000026,0.769999981,0.860000014,1
179,0.870000005,0.74000001,0.730000019,0.933333337,0.461111099,0.526666641,0.560000002,0.779999971,0.858888865,1
180,0.879999995,0.74000001,0.430000007,0.931111097,0.49444443,0.540000021,0.699999988,0.75999999,0.850000024,1
181,0.870000005,0.74000001,0.49000001,0.945555568,0.449999988,0.50666666,0.709999979,0.769999981,0.870000005,1
182,0.850000024,0.74000001,0.449999988,0.933333337,0.50111109,0.523333311,0.699999988,0.779999971,0.854444444,1
183,0.860000014,0.74000001,0.74000001,0.935555577,0.461111099,0.548888862,0.680000007,0.769999981,0.861111104,1
184,0.879999995,0.74000001,0.74000001,0.945555568,0.458888888,0.531111121,0.670000017,0.769999981,0.854444444,1
185,0.879999995,0.74000001,0.439999998,0.939999998,0.485555559,0.533333361,0.680000007,0.75999999,0.863333344,1
186,0.860000014,0.25999999,0.419999987,0.916666687,0.538888872,0.51222223,0.709999979,0.75999999,0.860000014,1
187,0.839999974,0.25999999,0.439999998,0.933333337,0.50333333,0.513333321,0.639999986,0.769999981,0.879999995,1
188,0.74000001,0.74000001,0.589999974,0.935555577,0.50777775,0.537777781,0.680000007,0.75999999,0.885555565,1
189,0.870000005,0.74000001,0.430000007,0.878888905,0.527777791,0.578888893,0.589999974,0.769999981,0.882222235,1
190,0.870000005,0.25999999,0.74000001,0.908888876,0.578888893,0.533333361,0.600000024,0.75999999,0.865555584,1
191,0.800000012,0.74000001,0.74000001,0.917777777,0.461111099,0.550000012,0.75999999,0.769999981,0.891111135,1
192,0.829999983,0.25999999,0.430000007,0.914444447,0.469999999,0.543333352,0.709999979,0.769999981,0.866666675,1
193,0.850000024,0.25999999,0.439999998,0.888888896,0.49666667,0.552222252,0.699999988,0.75999999,0.851111114,1
194,0.790000021,0.25999999,0.74000001,0.822222233,0.50777775,0.483333319,0.689999998,0.769999981,0.857777774,1
195,0.74000001,0.74000001,0.430000007,0.828888893,0.529999971,0.528888881,0.660000026,0.779999971,0.867777765,1
196,0.800000012,0.74000001,0.409999996,0.841111124,0.550000012,0.5088889,0.629999995,0.769999981,0.897777796,1
197,0.769999981,0.25999999,0.409999996,0.868888915,0.50555557,0.518888891,0.680000007,0.779999971,0.873333335,1
198,0.790000021,0.74000001,0.439999998,0.868888915,0.481111109,0.545555532,0.680000007,0.779999971,0.847777784,1
199,0.839999974,0.25999999,0.419999987,0.886666656,0.449999988,0.546666682,0.639999986,0.769999981,0.864444435,1
