Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
130,0.844594598,0.692827404,0.688929319,0.850000024,0.720000029,0.74000001,1,0.823685288,0.99999994,1,0.800000012,0.99888891
131,0.861486435,0.643970966,0.700363755,0.850000024,0.699999988,0.730000019,1,0.804680347,1.000000119,1,0.794444442,0.99888891
132,0.844594598,0.647609174,0.70140332,0.860000014,0.25999999,0.75999999,1,0.817262948,0.998767257,1,0.795555532,0.99222225
133,0.844594598,0.622661173,0.689968884,0.870000005,0.75999999,0.720000029,1,0.802590251,1,1,0.7588889,1
134,0.844594538,0.683731914,0.685550928,0.850000024,0.699999988,0.74000001,1,0.782863855,1,1,0.733333349,1
135,0.844594538,0.665020943,0.687889814,0.860000014,0.730000019,0.720000029,1,0.826577783,1,1,0.800000012,1
136,0.844594598,0.640332699,0.693347156,0.850000024,0.75,0.74000001,1,0.826422453,1,1,0.794444442,1
137,0.844594598,0.619542718,0.691787899,0.860000014,0.74000001,0.720000029,1,0.815069377,1,1,0.783333361,1
138,0.844594598,0.649688125,0.685550869,0.850000024,0.74000001,0.75,1,0.791952193,1,1,0.74777776,1
139,0.843035281,0.597713053,0.68892926,0.850000024,0.75,0.709999979,1,0.770653427,1.000000119,1,0.792222202,1
140,0.84303534,0.66112268,0.688409686,0.860000014,0.74000001,0.709999979,1,0.791557431,1,1,0.797777772,1
141,0.844594598,0.61876303,0.697505236,0.860000014,0.74000001,0.709999979,1,0.813561618,1,1,0.823333323,1
142,0.844594598,0.634615421,0.689709008,0.860000014,0.75,0.730000019,1,0.799613655,0.99999994,1,0.815555573,1
143,0.849532187,0.645010293,0.7097193,0.850000024,0.25999999,0.699999988,1,0.807906091,0.99999994,1,0.838888884,1
144,0.826923013,0.628638268,0.689968765,0.819999993,0.709999979,0.730000019,0.9976964,0.80412066,1.000000119,0.99444443,0.784444451,1
145,0.875519872,0.55483377,0.599012613,0.810000002,0.689999998,0.660000026,0.916487217,0.822847307,0.992280245,0.870000005,0.826666653,0.976666689
