Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
190,0.860000014,0.540000021,0.75,1,0.670000017,1,0.879999995,1
191,0.860000014,0.550000012,0.74000001,1,0.658888876,1,0.879999995,1
192,0.860000014,0.540000021,0.720000029,1,0.665555537,1,0.870000005,1
193,0.860000014,0.550000012,0.75,1,0.647777796,1,0.870000005,1
194,0.860000014,0.74000001,0.730000019,1,0.663333356,1,0.870000005,1
195,0.860000014,0.569999993,0.74000001,1,0.652222216,1,0.870000005,1
196,0.860000014,0.569999993,0.720000029,1,0.663333356,1,0.879999995,1
197,0.860000014,0.569999993,0.75,1,0.644444466,1,0.879999995,1
198,0.860000014,0.74000001,0.74000001,1,0.618888915,1,0.870000005,1
199,0.860000014,0.560000002,0.74000001,1,0.638888896,1,0.879999995,1
200,0.860000014,0.560000002,0.720000029,1,0.637777805,1,0.870000005,1
201,0.860000014,0.589999974,0.720000029,1,0.643333316,1,0.870000005,1
202,0.860000014,0.579999983,0.74000001,1,0.648888886,1,0.870000005,1
203,0.860000014,0.569999993,0.730000019,1,0.670000017,1,0.870000005,1
204,0.860000014,0.560000002,0.720000029,1,0.671111107,1,0.870000005,1
205,0.860000014,0.550000012,0.709999979,1,0.651111126,1,0.870000005,1
206,0.860000014,0.550000012,0.709999979,1,0.642222226,1,0.870000005,1
207,0.860000014,0.550000012,0.74000001,1,0.678888917,1,0.870000005,1
208,0.860000014,0.560000002,0.730000019,1,0.628888905,1,0.870000005,1
209,0.860000014,0.560000002,0.730000019,1,0.646666646,1,0.879999995,1
210,0.75999999,0.540000021,0.720000029,0.899999976,0.645555556,1,0.870000005,1
211,0.75,0.560000002,0.709999979,0.920000017,0.656666696,1,0.879999995,1
212,0.829999983,0.569999993,0.720000029,0.951111138,0.686666667,1,0.870000005,1
213,0.839999974,0.560000002,0.709999979,0.977777779,0.649999976,1,0.870000005,1
214,0.860000014,0.550000012,0.730000019,0.99444443,0.665555537,1,0.879999995,1
215,0.860000014,0.560000002,0.720000029,0.9911111,0.670000017,1,0.860000014,1
216,0.860000014,0.579999983,0.730000019,0.99666667,0.678888917,1,0.870000005,1
217,0.870000005,0.540000021,0.709999979,0.99888891,0.691111088,1,0.870000005,1
218,0.870000005,0.550000012,0.730000019,0.99777776,0.697777748,1,0.879999995,1
219,0.860000014,0.560000002,0.699999988,0.99777776,0.687777758,1,0.870000005,1
220,0.819999993,0.74000001,0.689999998,0.99333334,0.693333328,1,0.870000005,1
221,0.860000014,0.560000002,0.709999979,0.9911111,0.697777748,1,0.879999995,1
222,0.870000005,0.569999993,0.699999988,0.99777776,0.677777767,1,0.879999995,1
223,0.860000014,0.560000002,0.689999998,0.99444443,0.687777758,0.918888867,0.889999986,1
224,0.860000014,0.550000012,0.709999979,0.99888891,0.676666677,0.837777793,0.879999995,1
225,0.860000014,0.519999981,0.660000026,0.99888891,0.698888898,0.926666677,0.870000005,1
226,0.860000014,0.600000024,0.709999979,1,0.666666687,0.967777789,0.889999986,1
227,0.860000014,0.569999993,0.75,1,0.702222228,0.99555558,0.889999986,1
228,0.860000014,0.569999993,0.74000001,1,0.699999988,1,0.850000024,0.893333316
229,0.860000014,0.589999974,0.74000001,1,0.696666658,1,0.860000014,0.957777798
230,0.860000014,0.579999983,0.74000001,1,0.680000007,1,0.850000024,0.981111109
231,0.860000014,0.550000012,0.74000001,1,0.706666648,1,0.879999995,0.98888886
232,0.860000014,0.569999993,0.730000019,1,0.718888879,1,0.879999995,0.99000001
233,0.860000014,0.589999974,0.74000001,1,0.694444418,1,0.870000005,0.99888891
234,0.850000024,0.610000014,0.74000001,1,0.713333309,1,0.889999986,1
235,0.839999974,0.610000014,0.74000001,1,0.708888888,1,0.879999995,1
236,0.850000024,0.74000001,0.74000001,1,0.703333318,1,0.879999995,1
237,0.850000024,0.610000014,0.74000001,1,0.707777798,1,0.879999995,1
238,0.839999974,0.560000002,0.730000019,1,0.670000017,1,0.879999995,1
239,0.850000024,0.569999993,0.74000001,1,0.648888886,1,0.879999995,1
240,0.850000024,0.660000026,0.74000001,1,0.683333337,1,0.879999995,1
241,0.850000024,0.639999986,0.74000001,1,0.682222247,1,0.879999995,1
242,0.850000024,0.569999993,0.74000001,1,0.689999998,1,0.879999995,1
243,0.850000024,0.629999995,0.74000001,1,0.678888917,1,0.879999995,1
244,0.850000024,0.540000021,0.74000001,1,0.695555568,1,0.879999995,1
245,0.850000024,0.600000024,0.74000001,1,0.722222209,1,0.879999995,1
246,0.850000024,0.74000001,0.730000019,1,0.696666658,1,0.879999995,1
247,0.839999974,0.540000021,0.74000001,1,0.714444458,1,0.879999995,1
248,0.839999974,0.519999981,0.74000001,1,0.696666658,1,0.879999995,1
249,0.860000014,0.540000021,0.74000001,1,0.681111097,1,0.879999995,1
250,0.850000024,0.569999993,0.730000019,1,0.678888917,1,0.879999995,1
251,0.860000014,0.620000005,0.730000019,1,0.691111088,1,0.879999995,1
252,0.850000024,0.600000024,0.730000019,1,0.675555527,1,0.879999995,1
253,0.850000024,0.560000002,0.74000001,1,0.677777767,1,0.879999995,1
254,0.850000024,0.600000024,0.720000029,1,0.715555549,1,0.879999995,1
255,0.860000014,0.589999974,0.74000001,1,0.698888898,1,0.879999995,1
256,0.850000024,0.620000005,0.730000019,1,0.716666639,1,0.879999995,1
257,0.850000024,0.569999993,0.720000029,1,0.702222228,1,0.879999995,1
258,0.850000024,0.560000002,0.730000019,1,0.674444437,1,0.879999995,1
259,0.850000024,0.589999974,0.720000029,1,0.684444427,1,0.879999995,1
260,0.850000024,0.569999993,0.720000029,1,0.667777777,1,0.879999995,1
261,0.860000014,0.579999983,0.730000019,1,0.692222238,1,0.879999995,1
262,0.850000024,0.579999983,0.730000019,1,0.711111128,1,0.879999995,1
263,0.850000024,0.5,0.709999979,1,0.704444468,1,0.879999995,1
264,0.850000024,0.589999974,0.730000019,1,0.675555527,1,0.879999995,1
265,0.850000024,0.560000002,0.730000019,1,0.684444427,1,0.879999995,1
266,0.850000024,0.569999993,0.730000019,1,0.676666677,1,0.879999995,1
267,0.860000014,0.74000001,0.720000029,1,0.688888907,1,0.879999995,1
268,0.850000024,0.579999983,0.730000019,1,0.686666667,1,0.879999995,1
269,0.850000024,0.569999993,0.730000019,1,0.706666648,1,0.879999995,1
270,0.850000024,0.540000021,0.720000029,1,0.685555577,1,0.879999995,1
271,0.850000024,0.579999983,0.730000019,1,0.699999988,1,0.879999995,1
272,0.850000024,0.560000002,0.720000029,1,0.684444427,1,0.879999995,1
273,0.850000024,0.569999993,0.709999979,1,0.703333318,1,0.879999995,1
274,0.850000024,0.569999993,0.769999981,1,0.709999979,1,0.879999995,1
275,0.720000029,0.529999971,0.689999998,0.949999988,0.705555558,0.865555584,0.879999995,1
276,0.790000021,0.529999971,0.629999995,0.905555546,0.677777767,0.893333316,0.879999995,1
277,0.879999995,0.560000002,0.730000019,0.952222228,0.718888879,0.930000007,0.879999995,1
278,0.870000005,0.600000024,0.689999998,0.980000019,0.698888898,0.99333334,0.879999995,1
279,0.870000005,0.579999983,0.660000026,0.99333334,0.713333309,0.99777776,0.879999995,1
280,0.860000014,0.600000024,0.699999988,0.99555558,0.715555549,0.99888891,0.879999995,1
281,0.879999995,0.589999974,0.689999998,0.99777776,0.708888888,1,0.889999986,1
282,0.879999995,0.610000014,0.680000007,1,0.692222238,1,0.829999983,0.970000029
283,0.870000005,0.600000024,0.720000029,0.99888891,0.671111107,1,0.870000005,0.871111095
